time:116.17662312500113, p0:(113.5, 35.5, 70.5), p1:(113.5, 35.5, 70.5), fT:24 
time:116.17662312500113, p0:(113.5, 35.5, 70.5), p1:(113.5, 35.5, 70.5), fT:24 
time:122.67511179166756, p0:(113.5, 35.5, 84.5), p1:(113.5, 35.5, 56.5), fT:12 
time:122.87511179166756, p0:(113.5, 35.5, 56.5), p1:(113.5, 35.5, 62.0), fT:3 
time:122.92511179166756, p0:(113.5, 35.5, 62.0), p1:(113.5, 35.5, 67.0), fT:2 
time:122.95844512500089, p0:(113.5, 35.5, 67.0), p1:(113.5, 35.5, 72.75), fT:2 
time:122.99177845833422, p0:(113.5, 35.5, 72.75), p1:(113.5, 35.5, 78.5), fT:3 
time:123.04177845833422, p0:(113.5, 35.5, 78.5), p1:(113.5, 35.5, 84.49609375), fT:2 
time:123.07511179166757, p0:(113.5, 35.5, 84.49609375), p1:(113.5, 35.5, 84.49609375), fT:11 
time:123.07511179166757, p0:(113.5, 35.5, 84.49609375), p1:(113.5, 35.5, 84.49609375), fT:11 
time:133.91572594166723, p0:(113.5, 35.5, 85.5), p1:(113.5, 35.5, 49.5), fT:2 
time:133.94905927500056, p0:(113.5, 35.5, 49.5), p1:(113.5, 35.5, 51.25), fT:1 
time:133.96572594166724, p0:(113.5, 35.5, 51.25), p1:(113.5, 35.5, 52.75), fT:1 
time:133.9823926083339, p0:(113.5, 35.5, 52.75), p1:(113.5, 35.5, 54.5), fT:2 
time:134.01572594166723, p0:(113.5, 35.5, 54.5), p1:(113.5, 35.5, 57.0), fT:1 
time:134.0323926083339, p0:(113.5, 35.5, 57.0), p1:(113.5, 35.5, 58.75), fT:1 
time:134.04905927500056, p0:(113.5, 35.5, 58.75), p1:(113.5, 35.5, 60.25), fT:1 
time:134.06572594166724, p0:(113.5, 35.5, 60.25), p1:(113.5, 35.5, 63.0), fT:2 
time:134.09905927500057, p0:(113.5, 35.5, 63.0), p1:(113.5, 35.5, 64.5), fT:1 
time:134.11572594166722, p0:(113.5, 35.5, 64.5), p1:(113.5, 35.5, 66.25), fT:1 
time:134.1323926083339, p0:(113.5, 35.5, 66.25), p1:(113.5, 35.5, 67.75), fT:1 
time:134.14905927500055, p0:(113.5, 35.5, 67.75), p1:(113.5, 35.5, 70.5), fT:2 
time:134.1823926083339, p0:(113.5, 35.5, 70.5), p1:(113.5, 35.5, 72.0), fT:1 
time:134.19905927500056, p0:(113.5, 35.5, 72.0), p1:(113.5, 35.5, 73.75), fT:1 
time:134.21572594166724, p0:(113.5, 35.5, 73.75), p1:(113.5, 35.5, 76.5), fT:1 
time:134.2323926083339, p0:(113.5, 35.5, 76.5), p1:(113.5, 35.5, 76.5), fT:37 
time:134.2323926083339, p0:(113.5, 35.5, 76.5), p1:(113.5, 35.5, 76.5), fT:37 
time:138.91572594166732, p0:(113.5, 35.5, 80.5), p1:(113.5, 35.5, 54.0), fT:3 
time:138.96572594166733, p0:(113.5, 35.5, 54.0), p1:(113.5, 35.5, 56.75), fT:2 
time:138.99905927500066, p0:(113.5, 35.5, 56.75), p1:(113.5, 35.5, 58.5), fT:3 
time:139.04905927500064, p0:(113.5, 35.5, 58.5), p1:(113.5, 35.5, 60.0), fT:2 
time:139.08239260833398, p0:(113.5, 35.5, 60.0), p1:(113.5, 35.5, 62.5), fT:2 
time:139.1157259416673, p0:(113.5, 35.5, 62.5), p1:(113.5, 35.5, 62.5), fT:23 
time:139.1157259416673, p0:(113.5, 35.5, 62.5), p1:(113.5, 35.5, 62.5), fT:23 
time:140.1657259416671, p0:(113.5, 35.5, 78.5), p1:(113.5, 35.5, 76.0), fT:2 
time:140.19905927500042, p0:(113.5, 35.5, 76.0), p1:(113.5, 35.5, 72.75), fT:1 
time:140.2157259416671, p0:(113.5, 35.5, 72.75), p1:(113.5, 35.5, 70.5), fT:1 
time:140.23239260833375, p0:(113.5, 35.5, 70.5), p1:(113.5, 35.5, 67.0), fT:2 
time:140.26572594166709, p0:(113.5, 35.5, 67.0), p1:(113.5, 35.5, 64.5), fT:1 
time:140.28239260833377, p0:(113.5, 35.5, 64.5), p1:(113.5, 35.5, 62.0), fT:1 
time:140.29905927500042, p0:(113.5, 35.5, 62.0), p1:(113.5, 35.5, 58.75), fT:1 
time:140.3157259416671, p0:(113.5, 35.5, 58.75), p1:(113.5, 35.5, 56.5), fT:2 
time:140.34905927500043, p0:(113.5, 35.5, 56.5), p1:(113.5, 35.5, 53.0), fT:1 
time:140.36572594166708, p0:(113.5, 35.5, 53.0), p1:(113.5, 35.5, 50.5), fT:1 
time:140.38239260833376, p0:(113.5, 35.5, 50.5), p1:(113.5, 35.5, 50.5), fT:24 
time:140.38239260833376, p0:(113.5, 35.5, 50.5), p1:(113.5, 35.5, 50.5), fT:24 
time:152.0407259416662, p0:(113.5, 35.5, 85.5), p1:(113.5, 35.5, 76.5), fT:94 
time:153.60739260833287, p0:(113.5, 35.5, 76.5), p1:(113.5, 35.5, 72.5), fT:3 
time:153.65739260833288, p0:(113.5, 35.5, 72.5), p1:(113.5, 35.5, 68.25), fT:2 
time:153.69072594166622, p0:(113.5, 35.5, 68.25), p1:(113.5, 35.5, 65.0), fT:3 
time:153.7407259416662, p0:(113.5, 35.5, 65.0), p1:(113.5, 35.5, 61.5), fT:2 
time:153.77405927499953, p0:(113.5, 35.5, 61.5), p1:(113.5, 35.5, 57.75), fT:3 
time:153.82405927499954, p0:(113.5, 35.5, 57.75), p1:(113.5, 35.5, 53.5), fT:2 
time:153.85739260833287, p0:(113.5, 35.5, 53.5), p1:(113.5, 35.5, 50.5), fT:3 
time:153.90739260833288, p0:(113.5, 35.5, 50.5), p1:(113.5, 35.5, 48.5), fT:1 
time:153.92405927499954, p0:(113.5, 35.5, 48.5), p1:(113.5, 35.5, 48.5), fT:27 
time:153.92405927499954, p0:(113.5, 35.5, 48.5), p1:(113.5, 35.5, 48.5), fT:27 
time:154.38447594166615, p0:(113.5, 35.5, 67.5), p1:(113.5, 35.5, 67.5), fT:7 
time:154.38447594166615, p0:(113.5, 35.5, 67.5), p1:(113.5, 35.5, 67.5), fT:7 
time:160.16572594166615, p0:(113.5, 35.5, 98.5), p1:(113.5, 35.5, 72.75), fT:2 
time:160.19905927499948, p0:(113.5, 35.5, 72.75), p1:(113.5, 35.5, 76.0), fT:1 
time:160.21572594166616, p0:(113.5, 35.5, 76.0), p1:(113.5, 35.5, 78.5), fT:1 
time:160.23239260833282, p0:(113.5, 35.5, 78.5), p1:(113.5, 35.5, 81.0), fT:2 
time:160.26572594166615, p0:(113.5, 35.5, 81.0), p1:(113.5, 35.5, 84.5), fT:1 
time:160.28239260833283, p0:(113.5, 35.5, 84.5), p1:(113.5, 35.5, 86.75), fT:1 
time:160.29905927499948, p0:(113.5, 35.5, 86.75), p1:(113.5, 35.5, 90.0), fT:1 
time:160.31572594166616, p0:(113.5, 35.5, 90.0), p1:(113.5, 35.5, 92.5), fT:2 
time:160.3490592749995, p0:(113.5, 35.5, 92.5), p1:(113.5, 35.5, 95.0), fT:1 
time:160.36572594166614, p0:(113.5, 35.5, 95.0), p1:(113.5, 35.5, 98.49609375), fT:1 
time:160.38239260833282, p0:(113.5, 35.5, 98.49609375), p1:(113.5, 35.5, 98.49609375), fT:25 
time:160.79905927499948, p0:(113.5, 35.5, 98.49609375), p1:(113.5, 35.5, 95.25), fT:1 
time:160.81572594166616, p0:(113.5, 35.5, 95.25), p1:(113.5, 35.5, 92.75), fT:2 
time:160.8490592749995, p0:(113.5, 35.5, 92.75), p1:(113.5, 35.5, 90.5), fT:1 
time:160.86572594166614, p0:(113.5, 35.5, 90.5), p1:(113.5, 35.5, 87.0), fT:1 
time:160.88239260833282, p0:(113.5, 35.5, 87.0), p1:(113.5, 35.5, 84.5), fT:1 
time:160.89905927499947, p0:(113.5, 35.5, 84.5), p1:(113.5, 35.5, 81.25), fT:2 
time:160.93239260833283, p0:(113.5, 35.5, 81.25), p1:(113.5, 35.5, 78.75), fT:1 
time:160.94905927499948, p0:(113.5, 35.5, 78.75), p1:(113.5, 35.5, 76.5), fT:1 
time:160.96572594166616, p0:(113.5, 35.5, 76.5), p1:(113.5, 35.5, 73.0), fT:1 
time:160.98239260833282, p0:(113.5, 35.5, 73.0), p1:(113.5, 35.5, 70.5), fT:2 
time:161.01572594166615, p0:(113.5, 35.5, 70.5), p1:(113.5, 35.5, 70.5), fT:24 
time:161.01572594166615, p0:(113.5, 35.5, 70.5), p1:(113.5, 35.5, 70.5), fT:24 
time:167.66572594166632, p0:(113.5, 35.5, 84.5), p1:(113.5, 35.5, 56.5), fT:13 
time:167.882392608333, p0:(113.5, 35.5, 56.5), p1:(113.5, 35.5, 61.0), fT:2 
time:167.91572594166632, p0:(113.5, 35.5, 61.0), p1:(113.5, 35.5, 66.0), fT:3 
time:167.96572594166634, p0:(113.5, 35.5, 66.0), p1:(113.5, 35.5, 71.5), fT:3 
time:168.01572594166632, p0:(113.5, 35.5, 71.5), p1:(113.5, 35.5, 76.75), fT:2 
time:168.04905927499965, p0:(113.5, 35.5, 76.75), p1:(113.5, 35.5, 81.25), fT:2 
time:168.08239260833298, p0:(113.5, 35.5, 81.25), p1:(113.5, 35.5, 84.49609375), fT:3 
time:168.132392608333, p0:(113.5, 35.5, 84.49609375), p1:(113.5, 35.5, 84.49609375), fT:9 
time:168.132392608333, p0:(113.5, 35.5, 84.49609375), p1:(113.5, 35.5, 84.49609375), fT:9 
time:187.49485510833244, p0:(113.5, 35.5, 93.5), p1:(113.5, 35.5, 76.75), fT:2 
time:187.52818844166578, p0:(113.5, 35.5, 76.75), p1:(113.5, 35.5, 78.0), fT:2 
time:187.5615217749991, p0:(113.5, 35.5, 78.0), p1:(113.5, 35.5, 79.5), fT:2 
time:187.59485510833244, p0:(113.5, 35.5, 79.5), p1:(113.5, 35.5, 80.75), fT:2 
time:187.62818844166577, p0:(113.5, 35.5, 80.75), p1:(113.5, 35.5, 82.0), fT:1 
time:187.64485510833245, p0:(113.5, 35.5, 82.0), p1:(113.5, 35.5, 84.5), fT:3 
time:187.69485510833243, p0:(113.5, 35.5, 84.5), p1:(113.5, 35.5, 84.5), fT:16 
time:187.9615217749991, p0:(113.5, 35.5, 84.5), p1:(113.5, 35.5, 77.75), fT:4 
time:188.02818844166578, p0:(113.5, 35.5, 77.75), p1:(113.5, 35.5, 70.75), fT:3 
time:188.0781884416658, p0:(113.5, 35.5, 70.75), p1:(113.5, 35.5, 63.75), fT:4 
time:188.14485510833245, p0:(113.5, 35.5, 63.75), p1:(113.5, 35.5, 56.75), fT:4 
time:188.2115217749991, p0:(113.5, 35.5, 56.75), p1:(113.5, 35.5, 56.75), fT:23 
time:188.2115217749991, p0:(113.5, 35.5, 56.75), p1:(113.5, 35.5, 56.75), fT:23 
time:195.87197102499948, p0:(113.5, 35.5, 93.5), p1:(113.5, 35.5, 84.5), fT:55 
time:196.78863769166614, p0:(113.5, 35.5, 84.5), p1:(113.5, 35.5, 81.5), fT:3 
time:196.83863769166615, p0:(113.5, 35.5, 81.5), p1:(113.5, 35.5, 79.75), fT:2 
time:196.87197102499948, p0:(113.5, 35.5, 79.75), p1:(113.5, 35.5, 77.75), fT:2 
time:196.9053043583328, p0:(113.5, 35.5, 77.75), p1:(113.5, 35.5, 75.0), fT:2 
time:196.93863769166614, p0:(113.5, 35.5, 75.0), p1:(113.5, 35.5, 73.0), fT:2 
time:196.97197102499948, p0:(113.5, 35.5, 73.0), p1:(113.5, 35.5, 71.0), fT:2 
time:197.0053043583328, p0:(113.5, 35.5, 71.0), p1:(113.5, 35.5, 68.25), fT:2 
time:197.03863769166614, p0:(113.5, 35.5, 68.25), p1:(113.5, 35.5, 66.25), fT:2 
time:197.07197102499947, p0:(113.5, 35.5, 66.25), p1:(113.5, 35.5, 64.5), fT:2 
time:197.1053043583328, p0:(113.5, 35.5, 64.5), p1:(113.5, 35.5, 62.5), fT:2 
time:197.13863769166616, p0:(113.5, 35.5, 62.5), p1:(113.5, 35.5, 59.75), fT:2 
time:197.1719710249995, p0:(113.5, 35.5, 59.75), p1:(113.5, 35.5, 56.75), fT:3 
time:197.22197102499948, p0:(113.5, 35.5, 56.75), p1:(113.5, 35.5, 56.75), fT:6 
time:197.22197102499948, p0:(113.5, 35.5, 56.75), p1:(113.5, 35.5, 56.75), fT:6 
time:203.60352832499962, p0:(113.5, 35.5, 100.5), p1:(113.5, 35.5, 65.5), fT:3 
